Year,Month,A,B,C,D,E,F,G
1926,07,112.8,117.4,73.9,85.6,74.2,70.2,38.3
1926,08,148.3,133.5,82.7,135.1,76.4,88.1,56.7
1926,09,72.7,73.3,49.5,58.2,39.2,42.6,25.5
1926,10,135.4,152.9,74.6,88.5,59.8,71.9,38.5
1926,11,57.9,74.9,34.4,23.8,25.3,33.3,4.8
1926,12,41.0,59.5,29.5,19.9,31.4,35.6,15.0
1927,01,17.1,17.5,19.0,17.7,18.3,10.4,11.0
1927,02,30.8,31.6,17.9,20.6,13.8,14.7,8.5
1927,03,16.2,22.6,9.5,6.3,9.5,12.9,5.1
1927,04,13.2,19.8,7.7,2.8,5.5,7.2,1.2
1927,05,131.7,128.2,62.7,85.5,60.1,63.6,34.1
1927,06,49.7,59.9,42.1,51.5,43.2,30.8,21.8
1927,07,137.0,135.0,87.3,100.1,95.0,85.5,54.4
1927,08,199.4,200.6,105.8,155.9,87.3,80.8,53.8
1927,09,78.0,110.8,55.8,41.4,30.6,31.1,19.3
1927,10,122.2,127.5,75.2,90.1,39.8,39.7,34.7
1927,11,31.2,30.9,25.7,33.1,14.2,17.4,15.4
1927,12,70.4,95.5,51.7,38.3,31.6,36.3,19.0
1928,01,59.9,76.1,70.7,56.9,128.1,116.3,99.4
1928,02,167.5,170.5,156.1,164.7,98.9,92.3,90.2
1928,03,141.8,116.7,91.3,132.4,93.7,65.6,75.9
1928,04,66.1,79.2,51.3,58.7,32.5,33.6,28.5
1928,05,120.7,147.4,66.0,88.5,50.1,50.0,39.0
1928,06,148.7,144.3,110.2,160.1,103.8,86.6,64.9
1928,07,95.6,103.1,65.3,89.0,50.0,43.4,33.1
1928,08,48.0,48.1,21.5,25.7,20.1,13.9,10.3
1928,09,125.5,129.9,69.1,73.4,51.6,52.5,30.7
1928,10,193.2,179.9,106.6,142.0,91.5,86.2,60.5
1928,11,30.4,47.6,14.1,6.8,8.7,7.4,2.4
1928,12,36.4,41.7,22.1,16.9,20.1,19.4,5.7
1929,01,24.8,36.4,21.1,9.9,17.8,22.8,7.3
1929,02,44.1,50.4,42.4,33.4,43.6,47.3,30.7
1929,03,43.7,64.8,41.7,32.8,28.7,22.4,15.9
1929,04,136.2,183.2,133.7,129.5,110.2,84.1,70.0
